PL5QBWJ08U2tGs444hLPjJ8WFIY0x0736S	13	[PIU PHOENIX] v1.06.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tGiwYJmR9KwUufUIGslnQS2	6	[PIU PHOENIX] v1.06.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tFEsIMhlAZrKIuWnAZ7Lvq-	13	[PIU PHOENIX] v1.06.0 - STEP CHART VIDEO (K-POP)
PL5QBWJ08U2tEoi7MVd6bb1HgnYt1iaySS	27	[PIU PHOENIX] v1.07.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tEIIVZDV1hnG5X_QcF1EVaE	8	[PIU PHOENIX] v1.07.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tFXUFhe48l-Ylwt98Hk26FZ	5	[PIU PHOENIX] v1.08.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tEnrASOZ5sqmPx8bYN3pFJb	23	[PIU PHOENIX] v1.08.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tEPI7Sw_K3--t3KJt4herFF	8	[PIU PHOENIX] v1.04.0 - STEP CHART VIDEO (K-POP)
PL5QBWJ08U2tHldSKHPI-Du1Gm_AFbUpxc	12	7[PIU PHOENIX] v1.04.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tGyU9Svzrmk0jqittyVunsF	13	[PIU PHOENIX] v1.04.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tGECIrTmx6VqsN2DEtzLZ67	6	[PIU PHOENIX] v1.03.0 - STEP CHART VIDEO (K-POP)
PL5QBWJ08U2tGbSYhbEOMqrt8oFlZt7fKg	7	[PIU PHOENIX] v1.03.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tFa65hzb9ANVJT6AxH0wXGV	20	[PIU PHOENIX] v1.03.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tGFaKPpmSMgWrNF9Ze8chiC	25	[PIU PHOENIX] v1.02.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tE_PloUAWkuH2-rmNWPY-pe	13	[PIU PHOENIX] v1.01.0 - STEP CHART VIDEO (Original)
PL5QBWJ08U2tHd04xrbliq0v4Ru9SG3Iy_	12	[PIU PHOENIX] v1.02.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tHF7GLPU8gA6vM9SYk_4ue5	7	[PIU PHOENIX] v1.01.0 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tFAYoIJGPq-KZpcG8rzQjIi	6	[PIU PHOENIX] v1.02.0 - STEP CHART (K-POP)
PL5QBWJ08U2tH_cRMZwg6aSwD3EcxwN__N	18	[PIU PHOENIX] v1.01.0 - STEP CHART (K-POP)
PL5QBWJ08U2tGkWeSKyMAC_JkQzVzMynvF	43	[PIU PHOENIX] v1.00.1 - STEP CHART (K-POP)
PL5QBWJ08U2tF-G1nuFdvtSiPBOU-0oONx	50	[PIU PHOENIX] v1.00.1 - STEP CHART VIDEO (World Music)
PL5QBWJ08U2tE-kkHw_0JR2y2fxMrPphh-	37	[PIU PHOENIX] v1.00.1 - STEP CHART VIDEO (Original)
